"text",""

"8 - Profile, Dormitory"
"栗東寮",""
"美浦寮",""
"一人暮らし",""

"31 & 34 - Racetrack names (Name Racecourse)"
"札幌レース場",""
"函館レース場",""
"新潟レース場",""
"福島レース場",""
"中山レース場",""
"東京レース場",""
"中京レース場",""
"京都レース場",""
"阪神レース場",""
"小倉レース場",""
"大井レース場",""

"35 - Racetrack Shorts (max 3 characters)"
"札幌",""
"函館",""
"新潟",""
"福島",""
"中山",""
"東京",""
"中京",""
"京都",""
"阪神",""
"小倉",""
"大井",""

"121 - Fan Pyramid"
"デビュー",""
"未勝利",""
"ビギナー",""
"ブロンズ",""
"シルバー",""
"ゴールド",""
"プラチナ",""
"スター",""
"トップスター",""
"レジェンド",""

"138 - Trainings"
"芝",""
"ランニングマシン",""
"フィットネスバイク",""
"雑巾がけ",""
"ショットガンタッチ",""
"平泳ぎ",""
"クロール",""
"背泳ぎ",""
"バタフライ",""
"高速犬かき",""
"ダート",""
"スクワット",""
"腹筋",""
"ボクシング",""
"瓦割",""
"坂路",""
"うさぎ跳び",""
"ダンス練習",""
"階段ダッシュ",""
"タイヤ引き",""
"勉強",""
"読書",""
"クイズ",""
"ビデオ研究",""
"将棋",""
"おさんぽ",""
"カラオケ",""
"神社",""
"ランニング",""
"遠泳",""
"筋トレ",""
"浜辺タイヤ引き",""
"早押しクイズ",""
"海",""
"温泉",""

"162 – School grade/level"
"中等部",""
"高等部",""

"177 – Lottery rewards"
"温泉旅行券",""
"特上にんじんハンバーグ",""
"にんじん山盛り",""
"にんじん1本",""
"ティッシュ",""
